CASRN	Name	A	B	C	D	Pc	Tc	Tmin
7440-37-1	argon	-5.90501	1.12627	-0.767869	-1.62721	4857990	150.651	84
630-08-0	carbon monoxide	-6.20798	1.27885	-1.34533	-2.56842	3501150	132.91	71
124-38-9	carbon dioxide	-6.95626	1.19695	-3.12614	2.99448	7374990	304.15	217
463-58-1	carbonyl sulfide	-6.40952	1.21015	-1.54976	-2.10074	6346450	378.8	162
7782-41-4	fluorine	-6.18224	1.18062	-1.16555	-1.50167	5214720	144.31	64
7440-59-7	helium	-3.97466	1.00074	1.50056	-0.430197	230029	5.2	2
1333-74-0	hydrogen	-5.57929	2.60012	-0.85506	1.70503	1309600	33.19	14
7732-18-5	water	-7.76451	1.45838	-2.7758	-1.23303	22122300	647.35	275
7440-01-9	neon	-6.07686	1.59402	-1.06092	4.06656	2724550	44.38	25
7727-37-9	nitrogen	-6.09676	1.1367	-1.04072	-1.93306	3399610	126.2	63
7782-44-7	oxygen	-6.28275	1.73619	-1.81349	-0.0253645	5089870	154.7	54
75-71-8	dichlorodi- fluoromethane	-7.01657	1.73224	-2.97909	-0.377232	4132030	384.95	155
56-23-5	carbon tetrachloride	-7.07139	1.71497	-2.8993	-2.49466	4550780	556.4	250
75-45-6	chlorodi- fluoromethane	-6.99913	1.23014	-2.49377	-2.21052	4983310	369.3	170
67-66-3	chloroform	-6.95546	1.16625	-2.1397	-3.44421	5365760	536.4	215
75-46-7	trifluoromethane	-7.41994	1.65884	-3.14962	-0.849379	4840920	299.06	125
75-10-5	difluoromethane	-7.44206	1.51914	-2.75319	-0.979495	5826990	351.54	155
74-87-3	methyl chloride	-6.86672	1.52273	-1.92919	-2.61459	6697180	416.27	175
593-53-3	methyl fluoride	-6.78099	0.828379	-1.41137	-2.417	5557360	315	135
74-82-8	methane	-6.00435	1.1885	-0.834082	-1.22833	4596420	190.53	91
67-56-1	methanol	-8.54796	0.769817	-3.1085	1.54481	8085050	512.64	288
74-89-5	methylamine	-7.52772	1.81615	-4.20677	-1.22275	7433320	430	200
76-13-1	trichlorotri- fluoroethane	-7.36666	1.81971	-3.94233	0.625601	3425710	487.7	238
74-85-1	ethylene	-6.32055	1.16819	-1.55935	-1.83552	5050880	282.55	105
107-06-2	1,2-dichloro-ethane	-7.36864	1.76727	-3.34295	-1.4353	5362000	566	260
74-84-0	ethane	-6.34307	1.0163	-1.19116	-2.03539	4869710	305.42	133
64-17-5	ethanol	-8.51838	0.341626	-5.73683	8.32581	6130870	513.92	293
75-04-7	ethyiamine	-7.20059	1.20679	-3.71972	-4.33511	5641370	456.35	215
124-40-3	dimethylamine	-7.90295	2.81577	-6.31338	-0.224073	5308280	437.7	240
115-07-1	propylene	-6.64231	1.21857	-1.81005	-2.48212	4605230	364.85	140
67-64-1	acetone	-7.45514	1.202	-2.43926	-3.3559	4699930	508.1	259
74-98-6	propane	-6.67833	1.15437	-1.64984	-2.70017	4255760	369.82	145
71-23-8	1-propanol	-8.05594	0.0425183	-7.51296	6.89004	5151110	536.78	260
67-63-0	2-propanol	-8.16927	-0.0943213	-8.1004	7.85	4742440	508.3	250
107-10-8	propylamine	-7.23587	1.22853	-3.75004	-4.3399	4806740	497	235
75-50-3	trimethylamine	-6.88066	1.15962	-2.18332	-2.94707	4083960	433.3	200
106-98-9	butene	-6.88204	1.27051	-2.26284	-2.61632	4017600	419.57	170
