CASRN	Chemical	A	B	C	Tmin	Tmax
75-07-0	Acetaldehyde 	-2.4286	-803.54	-158.49	273	294
64-19-7	Acetic acid 	-1.4999	-353.33	69.11	283	383
67-64-1	Acetone 	-1.4195	-214.96	58.71	183	333
98-86-2	Acetophenone 	-1.6579	-490.08	37.75	286	474
107-18-6	Allyl alcohol 	-2.3605	-658.66	28.99	281	350
71-41-0	Amyl alcohol 	-2.4787	-696.7	68.61	273	373
62-53-3	Aniline 	-1.1835	-224.31	170.82	268	393
71-43-2	Benzene 	-2.7173	-1071.18	-129.51	278	463
106-97-8	n-Butane 	-2.2494	-599.66	-109.85	183	323
107-92-6	Butanoic acid 	-1.9294	-618.81	0.98	273	373
106-98-9	1-Butene 	-1.8752	-337.89	-27.8	163	233
71-36-3	n-Butyl alcohol 	-2.9918	-1026.78	-4.25	273	393
109-73-9	Butyl amine 	-5.9761	-5487.69	-658.54	273	348
104-51-8	Butyl benzene 	-1.6246	-403.89	46.09	283	353
56-23-5	Carbon tetrachloride 	-1.4708	-324.45	71.19	273	373
108-90-7	Chloro benzene 	-1.5481	-390.95	24.03	273	393
67-66-3	Chloroform 	-1.3917	-288.76	39.69	248	333
108-39-4	m - Cresol 	-1.4585	-289.19	185.08	316	373
95-48-7	o - Cresol 	-1.181	-197.71	204.14	323	393
110-82-7	Cyclo hexane 	-1.969	-501.37	37.2	278	353
287-92-3	Cyclo pentane 	-2.0803	-617.63	-65.69	253	323
124-18-5	Decane 	-1.5703	-342.46	68.73	248	373
75-34-3	1,1 - Dichloro ethane 	-1.7305	-420.45	-2.98	280	327
75-09-2	Dichloro methane 	-1.4815	-302.66	22.64	248	310
109-89-7	Diethyl amine 	-2.3523	-648.13	-51.35	283	323
105-58-8	Diethyl carbonate 	-0.9512	-114.23	159.97	293	393
96-22-0	Diethyl ketone 	-2.0805	-638.76	-71.73	273	373
352-93-2	Diethyl sulfide 	-2.0753	-640.74	-78.66	273	348
616-38-6	Dimethyl carbonate 	-0.97	-70.28	202.34	293	353
68-12-2	n,n-Dimethyl formamide 	-0.6419	-56.54	193.62	273	323
3744-21-6	2,2 - Dimethyl propane 	-0.9128	-30.15	202.98	258	283
75-18-3	Di methyl sulfide 	-0.7751	-18.09	217.66	273	309
123-91-1	1,4 - Dioxane 	-1.4827	-302.77	103.4	288	348
101-84-8	Di phenyl ether 	-1.0746	-238.51	153.06	313	373
101-81-5	Di phenyl methane 	-1.8959	-697.63	-1.09	333	434
142-84-7	Di propyl amine 	-2.0439	-519.82	2.21	273	373
112-40-3	Dodecane 	-1.5552	-374.71	77.07	273	373
74-84-0	Ethane 	-1.5478	-135.98	9.67	98	188
75-08-1	Ethane thiol 	-1.6159	-307.59	11.69	270	298
141-78-6	Ethyl acetate 	-3.5169	-2089.32	-364.82	273	463
64-17-5	Ethyl alcohol 	-2.8857	-1032.53	-55.95	248	348
100-41-4	Ethyl benzene 	-1.7041	-425.99	15.31	253	413
74-96-4	Ethyl bromide 	-3.2277	-1873.31	-370.72	248	433
74-85-1	Ethylene 	-2.135	-273.67	-35.34	103	173
106-93-4	Ethylene bromide 	-1.3151	-339.42	74.11	293	393
107-06-2	Ethylene chloride 	-1.8197	-507.87	1.36	273	353
60-29-7	Ethyl ether 	-4.4735	-3623.26	-648.55	273	373
109-94-4	Ethyl formate 	-1.5812	-299.33	40.27	273	328
105-37-3	Ethyl propionate 	-2.0186	-572.05	-34.88	273	373
64-18-6	Formic acid 	-1.415	-297.43	114.74	281	373
110-00-9	Furan 	-1.7446	-388.37	-0.2	248	303
629-78-7	Hepta decane 	-1.7847	-577.32	51.72	303	553
142-82-5	Heptane 	-1.5365	-277.33	51.64	183	373
544-76-3	Hexa decane 	-1.7148	-522.41	60.1	298	393
110-54-3	Hexane 	-1.804	-401.73	-16.29	213	343
592-41-6	1 - Hexene 	-1.8076	-356.34	2.7	248	323
693-02-7	1 - Hexyne 	-3.0941	-1404.92	-233.99	293	333
123-51-3	Isoamyl alcohol 	-5.3532	-2741.77	-161.66	283	373
75-28-5	Iso butane 	-2.2673	-566.04	-81.14	193	273
110-19-0	Iso butyl acetate 	-2.8354	-1224.43	-161.32	293	373
79-31-2	Iso butyric acid 	-1.8943	-594.97	-2.06	273	373
67-63-0	Iso propyl alcohol 	-3.9124	-1399.28	-32.76	273	348
75-31-0	Iso propyl amine 	-1.3472	-145.21	128.21	273	303
74-82-8	Methane 	-1.5276	-44.35	37.69	88	113
79-20-9	Methyl acetate 	-2.5116	-957.1	-164.01	273	327
67-56-1	Methyl alcohol 	-2.2968	-675.41	-33.89	248	333
74-89-5	Methyl amine 	-1.551	-175.06	82.16	203	273
110-43-0	Methyl-n-amylketone 	-1.0477	-61.19	229.68	293	353
78-78-4	2 - Methyl butane 	-1.8644	-351.7	3.82	223	303
513-35-9	2 - Methyl - 2 - butene 	-1.8117	-342.53	-8.18	273	305
623-42-7	Methyl butanoate 	-1.8739	-478.95	-0.03	273	373
96-37-7	Methyl cyclo pentane 	-2.38	-841.97	-110.74	248	323
107-31-3	Methyl formate 	-1.4142	-217.54	65.39	274	302
547-63-7	Methyl iso butyrate 	-2.0903	-624.72	-52.9	273	362
554-12-1	Methyl propionate 	-2.0125	-565.15	-45.06	273	348
107-87-9	Methyl - n - propyl ketone 	-1.8022	-440.84	-0.98	273	373
75-52-5	Nitro methane 	-1.5306	-344.15	39.22	248	348
111-84-2	Nonane 	-1.7903	-443.29	23.17	273	373
111-65-9	Octane 	-2.1458	-664.14	-60.61	273	373
593-45-3	Octa decane 	-1.3859	-375.22	112.28	303	373
629-62-9	Penta decane 	-1.4073	-348.84	105.48	293	373
109-66-0	Pentane 	-1.4835	-221.13	33.68	153	303
109-67-1	1 - Pentene 	-1.8872	-389.41	-33.04	218	298
108-95-2	Phenol 	-1.3164	-253.66	186	313	363
74-98-6	Propane 	-1.3602	-147.59	23.8	93	203
79-09-4	Propionic acid 	-1.8168	-558.84	-7.46	273	373
109-60-4	N - Propyl acetate 	-1.8903	-480.5	2.42	273	373
71-23-8	N - Propyl alcohol 	-2.73	-854.52	14.96	248	348
110-74-7	Propyl formate 	-1.882	-482.16	-9.34	273	348
110-86-1	Pyridine 	-0.9224	-108.01	171.49	273	373
109-97-7	Pyrrole 	-1.181	-206.12	135.32	273	348
91-22-5	Quinoline 	-1.6854	-440.24	98.75	288	373
629-59-4	Tetra decane 	-1.4424	-350.81	100.18	283	373
109-99-9	Tetra hydro furan 	-5.9778	-6696.37	-886.12	248	323
108-88-3	Toluene 	-1.7712	-433.71	12.03	253	383
75-69-4	Tri chloro fluoro methane 	-0.934	-92.22	133.28	248	343
629-50-5	Tri decane 	-1.6833	-453.35	61.85	273	373
121-44-8	Tri ethyl amine 	-2.5237	-963.82	-168.26	273	348
108-38-3	m - Xylene 	-1.7884	-473.42	-6.46	273	413
95-47-6	o - Xylene 	-1.735	-445.93	22.25	273	413
