CAS	Chemical	C1	C2	C3	C4	Tmin	Tmax
75-07-0	Acetaldehyde  	1.222E-07	0.787	77	0	150.15	1000
60-35-5	Acetamide  	1.423E-07	0.7574	272.14	0	353.33	1000
64-19-7	Acetic acid  	2.7449E-08	1.0123	7.4948	0	289.81	1000
108-24-7	Acetic anhydride  	1.2E-07	0.7915	105.3	0	200.15	1000
67-64-1	Acetone  	3.1005E-08	0.9762	23.139	0	178.45	1000
75-05-8	Acetonitrile  	5.1964E-08	0.8857	38.805	0	229.32	1000
74-86-2	Acetylene  	1.2025E-06	0.4952	291.4	0	192.4	600
107-02-8	Acrolein  	6.523E-07	0.579	410.8	0	185.45	1000
79-10-7	Acrylic acid  	1.7154E-07	0.7418	138.4	0	286.15	1000
107-13-1	Acrylonitrile  	4.302E-08	0.9114	54.3	0	189.63	1000
132259-10-0	Air  	1.425E-06	0.5039	108.3	0	80	2000
7664-41-7	Ammonia  	4.1855E-08	0.9806	30.8	0	195.41	1000
100-66-3	Anisole  	1.7531E-07	0.72	176.17	0	235.65	1000
7440-37-1	Argon  	9.2121E-07	0.60529	83.24	0	83.78	3273.1
55-21-0	Benzamide  	2.5082E-08	0.96663	0	0	403	1000
71-43-2	Benzene  	3.134E-08	0.9676	7.9	0	278.68	1000
108-98-5	Benzenethiol  	1.1184E-07	0.8002	152.43	0	442.29	1000
65-85-0	Benzoic acid  	7.4266E-08	0.8289	91.197	0	395.45	1000
100-47-0	Benzonitrile  	4.2137E-08	0.92271	45.387	0	260.4	1000
119-61-9	Benzophenone  	3.779E-07	0.6005	409	0	321.35	1000
100-51-6	Benzyl alcohol  	6.9022E-08	0.84014	74.746	0	257.85	1000
539-30-0	Benzyl ethyl ether 	1.56E-07	0.7181	180	0	458.15	1000
100-53-8	Benzyl mercaptan 	4.0138E-08	0.90735	34.714	0	243.95	1000
92-52-4	Biphenyl  	1.3874E-06	0.4434	678.22	0	342.2	1000
7726-95-6	Bromine  	7.3534E-08	0.93798	0	0	265.85	600
108-86-1	Bromobenzene  	2.232E-07	0.7146	184.9	0	429.24	1000
74-96-4	Bromoethane  	5.29E-07	0.632	226	0	154.55	1000
