CAS	Chemical	C1	C2	C3	C4	C5	Tmin	Tmax
75-07-0	Acetaldehyde  	-5.895	668.21	-0.84323	0	0	150.15	294
60-35-5	Acetamide  	1.5525	1376.4	-2.0126	0	0	353.33	494.3
64-19-7	Acetic acid  	-9.03	1212.3	-0.322	0	0	289.81	391.05
108-24-7	Acetic anhydride  	-14.164	1350.3	0.4492	0	0	210	412.7
67-64-1	Acetone  	-14.918	1023.4	0.5961	0	0	190	329.44
75-05-8	Acetonitrile  	-10.906	872.02	0	0	0	229.32	436.4
74-86-2	Acetylene  	6.224	-151.8	-2.6554	0	0	193.15	273.15
107-02-8	Acrolein  	-12.032	867.34	0.19534	0	0	185.45	353.22
79-10-7	Acrylic acid  	-28.12	2280.2	2.3956	0	0	286.15	460
107-13-1	Acrylonitrile  	2.019	239.7	-1.8975	0	0	220	350.5
132259-10-0	Air  	-20.077	285.15	1.784	-6.2382E-22	10	59.15	130
7664-41-7	Ammonia  	-6.743	598.3	-0.7341	-3.69E-27	10	195.41	393.15
100-66-3	Anisole  	-15.407	1518.7	0.60172	0	0	235.65	426.73
7440-37-1	Argon  	-8.8685	204.29	-0.38305	-1.2937E-22	10	83.78	150
55-21-0	Benzamide  	-12.632	2668.2	0	0	0	403	563.15
71-43-2	Benzene  	7.5117	294.68	-2.794	0	0	278.68	545
108-98-5	Benzenethiol  	-8.4562	1024.4	-0.30635	0	0	258.27	442.29
65-85-0	Benzoic acid  	-12.947	2557.9	0	0	0	395.52	600.8
100-47-0	Benzonitrile  	-20.236	1737.4	1.3531	0	0	270	450
119-61-9	Benzophenone  	13.354	-232.91	-3.2685	1.7488E+020	-8.052	321.35	664
100-51-6	Benzyl alcohol  	-14.152	2652	0	0	0	257.85	478.6
539-30-0	Benzyl ethyl ether  	-11.46	1497	-0.043397	0	0	275.65	458.15
100-53-8	Benzyl mercaptan  	-11.459	1334.4	0.00049694	0	0	243.95	472.03
92-52-4	Biphenyl  	-9.9265	1576.3	-0.21119	0	0	342.2	723.15
7726-95-6	Bromine  	16.775	-314	-3.9763	0	0	265.85	350
108-86-1	Bromobenzene  	-20.611	1656.5	1.4415	0	0	242.43	429.24
74-96-4	Bromoethane  	-10.015	823.43	-0.11122	0	0	154.55	311.5
74-83-9	Bromomethane  	-8.103	570.8	-0.32958	0	0	179.47	276.71
590-19-2	1,2-Butadiene  	-10.143	472.79	-0.028241	0	0	136.95	284
106-99-0	1,3-Butadiene  	17.844	-310.2	-4.5058	0	0	250	400
106-97-8	Butane  	-7.2471	534.82	-0.57469	-4.6625E-27	10	134.86	420
584-03-2	1,2-Butanediol  	-393.86	19042	59.978	-0.049479	1	220	544
107-88-0	1,3-Butanediol  	-390.03	18609	60.014	-0.055844	1	196.15	540.8
71-36-3	1-Butanol  	0.87669	1602.9	-2.1475	3.3866E+022	-9.9231	190	391.9
78-92-2	2-Butanol  	-16.323	3141.7	0	0	0	158.45	372.9
106-98-9	1-Butene  	-10.773	591.61	0	0	0	87.8	335.6
590-18-1	cis-2-Butene  	-10.346	522.3	-0.011847	0	0	134.26	276.87
624-64-6	trans-2-Butene  	-10.335	521.39	-0.013184	0	0	167.62	274.03
123-86-4	Butyl acetate  	-17.488	1478.2	0.91828	0	0	250	399.26
104-51-8	Butylbenzene  	-23.802	1887.2	1.8479	0	0	200	456.46
109-79-5	Butyl mercaptan  	-10.807	966.74	-0.014851	0	0	157.46	373.15
