CAS	Chemical	A	B	C	D	E
7440-63-3	Xenon	-0.0000023692	0.000000098454	-0.000000000048314	0.00000000000001953	-3.42E-018
7439-90-9	Krypton	-0.000000792	0.000000102624	-0.000000000055428	0.00000000000002187	-3.69E-018
7440-37-1	Argon	0.0000016196	0.000000081279	-0.000000000041263	0.00000000000001668	-2.76E-018
7440-01-9	Neon	0.0000023014	0.000000122527	-0.000000000097141	0.00000000000005386	-1.103E-017
7440-59-7	Helium	0.0000039223	0.0000000613	-0.000000000031007	0.00000000000001479	-2.84E-018
132259-10-0	Air	-0.0000001702	0.000000079965	-0.000000000072183	0.0000000000000496	-1.388E-017
1333-74-0	Hydrogen	0.0000018024	0.000000027174	-0.000000000013395	5.85E-015	-1.04E-018
7727-37-9	Nitrogen	-0.000000102	0.000000074785	-0.000000000059037	0.0000000000000323	-6.73E-018
7782-44-7	Oxygen	-0.0000010257	0.000000092625	-0.000000000080657	0.00000000000005113	-1.295E-017
7704-34-9	Sulfur	0.000000967	0.000000011835	0.000000000001588	0	0
7782-41-4	Fluorine	-0.0000011373	0.000000103844	-0.000000000096327	0.00000000000008073	-2.846E-017
7782-50-5	Chlorine	-0.0000006348	0.000000049801	-0.000000000009451	0	0
10097-32-2	Bromine	0.0000019483	0.000000043743	0.000000000005031	0	0
7553-56-2	Iodine	0.0000006758	0.000000046358	-0.000000000003714	0	0
7664-39-3	Hydrogen fluoride	-0.0000708883	0.000000418933	-0.000000000119859	-0.00000000000198523	2.59754E-015
7647-01-0	Hydrogen chloride	-0.0000012146	0.000000056696	-0.000000000012126	0	0
10035-10-6	Hydrogen bromide	0.0000009163	0.000000058825	-0.000000000004531	0	0
10034-85-2	Hydrogen iodide	-0.0000001823	0.000000067176	-0.000000000009695	0	0
74-90-8	Hydrogen cyanide	-0.0000006954	0.000000008177	0.000000000009107	0	0
7783-06-4	Hydrogen sulfide	0.0000054442	0.000000010851	0.000000000044565	0	0
7664-41-7	Ammonia	-0.0000007883	0.000000036749	-0.000000000000451	0	0
10102-43-9	Nitric oxide	-0.0000009105	0.000000084998	-0.000000000071473	0.0000000000000424	-1.02E-017
10102-44-0	Nitrogen dioxide	-0.0000228505	0.000000175834	-0.000000000229768	0.00000000000017134	-4.92E-017
10024-97-2	Nitrous oxide	-0.0000009569	0.000000057181	-0.000000000016548	0	0
10544-72-6	Dinitrogentetroxide	-0.0000008683	0.00000006745	-0.000000000012834	0	0
460-19-5	Cyanogen	-0.0000000521	0.000000034573	-0.000000000001265	0	0
7719-12-2	Phosphorus trichloride	-0.0000011382	0.000000042969	-0.000000000014926	7.44E-015	-1.77E-018
506-77-4	Cyanogen chloride	-0.0000007162	0.000000032567	-0.000000000007104	0	0
7440-21-3	Silane	0.0000010189	0.000000035395	0	0	0
10026-04-7	Tetrachlorosilane	-0.0000013422	0.000000042941	-0.000000000015995	7.34E-015	-1.61E-018
630-08-0	Carbon monoxide	0.0000001384	0.000000074306	-0.000000000062996	0.00000000000003948	-1.032E-017
124-38-9	Carbon dioxide	-0.0000018024	0.000000065989	-0.000000000037108	0.00000000000001586	-3E-018
504-64-3	Carbon suboxide	-0.0000005865	0.000000045539	-0.000000000008739	0	0
463-58-1	Carbonyl sulfide	-0.0000010565	0.00000004941	-0.000000000009608	0	0
75-44-5	Phosgene	-0.0000006483	0.000000035637	-0.000000000007409	0	0
75-15-0	Carbon disulfide	-0.000000784	0.000000036608	-0.00000000000249	0	0
7446-09-5	Sulfur dioxide	-0.0000013559	0.00000005123	-0.000000000011626	0	0
7446-11-9	Sulfur trioxide	-0.0000012683	0.000000054605	-0.000000000016261	0	0
