CAS	Chemical	Formula	A	B	C	D	E
7440-63-3	Xenon	Xe	0.55314	-37.82854	164.8	-1106.936	0.00050739
7439-90-9	Krypton	Kr	1.20479	0.6058	216.325	2.278	0.00008756
7440-37-1	Argon	Ar	2.9201	3.51821	151.048	-164.493	0.00002311
132259-10-0	Air		2.22755	0.49596	132.897	4	0.00001638
7727-37-9	Nitrogen	N2	2.23392	0.01273	127.145	36.807	0.00001343
7782-44-7	Oxygen	O2	2.14927	0.00116	157.423	36.005	0.00001839
7782-41-4	Fluorine	F2	3.79391	2.18842	331.029	-177.692	0.0000008
7782-50-5	Chlorine	C2l	0.48281	1.35353	439.327	-110.083	0.00017187
10097-32-2	Bromine	B2r	3.19074	1.6166	499.481	-209.817	0.00005839
7553-56-2	Iodine	2I	3.26629	2.09143	793.019	-407.779	0.00007227
7664-39-3	Hydrogen fluoride	HF	0.52901	0.61638	475.848	81.999	0.00007721
7647-01-0	Hydrogen chloride	HCl	6.63052	-0.88397	445.763	72.787	0.00000041
10035-10-6	Hydrogen bromide	HrB	4.16618	0.00407	382.714	11.651	0.00001234
10034-85-2	Hydrogen iodide	HI	5.17952	-0.0035	446.147	-81.737	0.00001373
74-90-8	Hydrogen cyanide	HNC	0.59249	1.74862	394.903	-1.249	0.00008283
7732-18-5	Water	H2O	0.45047	1.39753	613.181	63.697	0.00006896
7783-06-4	Hydrogen sulfide	H2S	5.74095	-0.46553	425.493	98.235	0.00000105
7664-41-7	Ammonia	N3H	0.76099	6.53802	373.726	-304.733	0.00005863
10102-43-9	Nitric oxide	NO	7.22569	-0.17859	202.5	-106.123	0.00000172
10102-44-0	Nitrogen dioxide	NO2	6.86768	-0.14884	423.463	-446.706	0.00000919
10024-97-2	Nitrous oxide	N2O	3.47166	2.50311	379.73	-222.126	0.00000792
10544-72-6	Dinitrogentetroxide	N2O4	-0.03739	0.96651	615.987	11.286	0.00013891
460-19-5	Cyanogen	C2N2	1.47085	5.11957	729.566	-34.528	0.0000001
7719-12-2	Phosphorus trichloride	P3Cl	0.41897	0.69273	676.023	-10.272	0.0001357
506-77-4	Cyanogen chloride	CCNl	0.8526	1.26974	632.123	-38.108	0.00006912
7440-21-3	Silane	S4iH	0.61446	0.39805	505.03	-16.673	0.00002342
10026-04-7	Tetrachlorosilane	SCli4	2.64937	4.43604	883.209	-795.2	0.00000763
630-08-0	Carbon monoxide	CO	1.12644	1.20497	177.745	-40.077	0.00002545
124-38-9	Carbon dioxide	C2O	2.68801	4.19607	305.198	-186.836	0.00002914
504-64-3	Carbon suboxide	C3O2	1.36451	1.23603	651.929	-33.959	0.00003443
463-58-1	Carbonyl sulfide	CSO	1.09689	1.29173	344.677	-34	0.00008662
75-44-5	Phosgene	CC2lO	2.05445	0.57499	405.66	-78.105	0.0001143
75-15-0	Carbon disulfide	CS2	-1.21697	2.07022	423.015	16.676	0.00044103
7446-09-5	Sulfur dioxide	SO2	11.30591	4.76771	588.187	-978.88	0.00000014
7446-11-9	Sulfur trioxide	SO3	1.05142	1.92462	680.96	61.41	0.00001373
7791-25-5	Sulfuryl chloride	Cl2SO2	0.89331	0.87316	742.201	-42.953	0.00007532
2551-62-4	Sulfur hexafluoride	SF6	1.61414	2.05898	451.978	-219.147	0.00006271
74-93-1	Methyl mercaptan	CH4S	0.9521	0.76506	550.522	-25.991	0.00005879
75-08-1	Ethyl mercaptan	C2H6S	-0.01119	1.88058	472.369	-65.473	0.00014524
75-18-3	Dimethyl sulfide	C2H6S	0.72488	0.86931	589.869	-12.293	0.00006185
352-93-2	Diethyl sulfide	C4H10S	1.53683	1.21439	583.673	-63.53	0.00004208
110-02-1	Thiophene	C4H4S	0.41152	1.31563	668.146	-36.622	0.00009023
593-53-3	Fluoromethane (R41)	CH3F	-1.76244	6.54755	277.164	-206.901	0.00033288
75-10-5	Difluoromethane (R32)	CH22F	2.02991	0.6326	324.135	42.295	0.00005219
75-46-7	Trifluoromethane (R23)	CHF3	0.72088	2.00276	267.675	-32.095	0.00011482
75-73-0	Tetrafluoromethane (R14)	CF4	1.28783	0.76244	405.676	-14.981	0.00002872
74-87-3	Methyl chloride	CH3lC	0.67544	2.38486	379.438	-35.279	0.00007741
75-09-2	Methylene chloride	CH2lC2	0.85505	0.90417	608.752	-18.795	0.00007319
67-66-3	Chloroform	CHC3l	0.61822	0.98765	660.257	-29.324	0.00009188
56-23-5	Carbon tetrachloride	CC4l	0.83033	2.29078	562.119	-73.328	0.00009929
74-83-9	Bromomethane	CH3rB	0.58164	1.14346	527.197	-56.84	0.00010019
74-95-3	Dibromomethane	CH2Br2	2.55875	-0.00001	884.158	142.141	0.00001849
75-25-2	Tribromomethane	CHB3r	1.188	0.70521	870.903	-15.622	0.00009053
558-13-4	Tetrabromomethane	CB4r	0.71298	1.97356	549.836	121.421	0.00003942
75-45-6	Chlorodifluoromethane (R22)	CHClF2	2.50542	0.00079	369.199	56.279	0.00002948
75-43-4	Dichlorofluoromethane (R21)	CHC2lF	1.10954	1.04245	429.188	-2.978	0.00009772
75-72-9	Chlorotrifluoromethane (R13)	CClF3	0.7636	1.63878	278.217	-10.329	0.00010624
75-71-8	Dichlorodifluoromethane (R12)	CC2l2F	2.23435	96.51808	363.171	-3940.344	0.00007311
75-69-4	Trichlorofluoromethane (R11)	CC3lF	1.85826	74.83744	443.154	-3365.675	0.00007753
353-36-6	Ethyl fluoride (R161)	C2H5F	-2.84655	2.06943	550.11	-106.565	0.00052565
75-00-3	Ethyl chloride	C2H5Cl	2.32681	0.36985	448.229	35.146	0.00003041
74-96-4	Ethyl bromide	C2H5Br	0.83478	2.99446	335.85	-59.764	0.00021716
75-34-3	1,1-Dichloroethane	C2H4Cl2	1.37295	1.23179	556.46	-39.335	0.00005608
107-06-2	1,2-Dichloroethane	C2H4Cl2	-0.45273	17.42862	610.982	-1044.345	0.00008499
106-93-4	1,2-Dibromoethane	C2H4Br2	1.3099	0.80947	895.72	-17.882	0.00004775
420-46-2	1,1,1-Trifluoroethane (R143a)	C2H3F3	4.61506	1.76477	546.015	-252.896	0.00000187
71-55-6	1,1,1-Trichloroethane	C2H3C3l	0.61256	2.5708	431.477	-5.988	0.00020394
79-34-5	1,1,2,2-Tetrachloroethane	C2H2C4l	-1.87216	3.09287	643.532	-79.592	0.0006425
76-01-7	Pentachloroethane	C2HlC5	1.19161	3.5308	457.262	-59.526	0.00026156
67-72-1	Hexachloroethane	C2Cl6	0.93763	1.54402	933.967	-95.372	0.00004948
76-12-0	1,1,2,2-Tetrachlorodifluoroethane	C2Cl4F2	2.43919	1.98108	589.547	-55.108	0.00002928
76-13-1	1,1,2-trichlorotrifluoroethane	C2Cl3F3	0.82677	1.39278	641.776	-33.411	0.00006607
76-14-2	1,2-Dichlorotetrafluoroethane	C2Cl2F4	1.87065	0.72922	852.495	-53.946	0.0000104
540-54-5	1-Chloropropane	C3H7Cl	1.92904	0.84928	457.628	5.103	0.00004817
109-69-3	1-Chlorobutane	C4H9Cl	1.52415	0.59496	866.798	-26.351	0.00001925
543-59-9	1-Chloropentane	C5H11lC	0.62392	1.37795	655.392	-49.534	0.0000703
79-38-9	Chlorotrifluoroethene	C2Cl3F	2.44328	0.87633	677.365	-14.748	0.00001698
75-01-4	Vinyl chloride	C2H3Cl	3.40346	0.04475	1554.962	-9.904	0.00000057
75-35-4	1,1-Dichloroethene	C2H2C2l	1.81449	1.43005	596.573	-79.313	0.00002607
79-01-6	Trichloroethene	C2HlC3	0.09853	0.87464	646.099	-1.547	0.00016897
127-18-4	Tetrachloroethene	C2Cl4	1.65634	0.7879	633.414	-20.306	0.00006745
462-06-6	Fluorobenzene	C6H5F	2.04963	0.38729	532.926	91.376	0.00004074
108-90-7	Chlorobenzene	C6H5Cl	2.62728	-0.00003	685.399	159.643	0.00001868
108-86-1	Bromobenzene	C6H5Br	2.12889	0.10412	1705.036	59.324	0.00000753
591-50-4	Iodobenzene	C6H5I	2.37813	0.16293	1304.037	67.555	0.00001003
108-41-8	m-Chlorotoluene	C7H7Cl	0.6657	2.57537	448.32	-26.587	0.00021128
100-44-7	Benzyl chloride	C7H7Cl	1.98218	1.93498	643.943	-99.094	0.00003369
74-82-8	Methane	CH4	2.31365	0.66803	200.211	-19.178	0.00001039
74-84-0	Ethane	C2H6	2.43591	0.0971	309.734	33.467	0.00001554
74-98-6	Propane	C3H8	2.56344	0.16137	372.533	38.033	0.00001751
106-97-8	n-Butane	C4H10	2.62924	0.23703	428.069	37.093	0.00001801
109-66-0	n-Pentane	C5H12	2.80331	0.25074	474.455	32.856	0.00001653
110-54-3	n-Hexane	C6H14	0.69508	0.53665	704.295	16.747	0.00005657
142-82-5	n-Heptane	C7H16	2.96002	0.24715	553.942	62.172	0.00001424
111-65-9	n-Octane	C8H18	2.87088	0.35483	577.534	48.983	0.00001722
111-84-2	n-Nonane	C9H20	2.91497	0.4985	609.361	38.982	0.00001562
124-18-5	n-Decane	C10H22	2.7681	0.64646	621.362	24.17	0.00002107
1120-21-4	n-Undecane	C11H24	1.42789	1.36923	615.194	-0.597	0.00005825
112-40-3	n-Dodecane	C12H26	1.87106	0.59429	757.672	63.871	0.0000307
629-50-5	n-Tridecane	C13H28	1.05863	1.73484	695.337	-39.851	0.00006504
629-59-4	n-Tetradecane	C14H30	1.70345	1.105	696.658	26.022	0.0000477
629-62-9	n-Pentadecane	C15H32	1.32056	1.61496	714.996	-23.879	0.00006051
544-76-3	n-Hexadecane	C16H34	1.75863	0.59899	1140.067	17.721	0.00001758
629-78-7	n-Heptadecane	C17H36	0.25719	1.55014	986.952	-71.139	0.00007134
593-45-3	n-Octadecane	C18H38	1.77701	0.56471	1241.303	18.268	0.00001609
629-92-5	n-Nonadecane	C19H40	0.56468	1.52936	1020.103	-76.599	0.00005702
112-95-8	n-Eicosane	C20H42	0.77549	2.16016	789.785	-65.277	0.00008902
75-28-5	Isobutane	C4H10	2.79529	0.37315	419.63	28.072	0.00001567
78-78-4	2-Methyl butane	C5H12	1.34155	1.33584	426.654	-16.753	0.0000528
463-82-1	2,2-Dimethyl propane	C5H12	0.20382	2.65306	366.672	40.292	0.00012836
107-83-5	2-Methyl pentane	C6H14	1.25443	1.20225	495.37	-20.972	0.00005066
96-14-0	3-Methyl pentane	C6H14	-1.65266	4.71153	545.792	-273.697	0.00021598
75-83-2	2,2-Dimethyl butane	C6H14	0.78335	1.79719	521.065	-50.88	0.00006606
79-29-8	2,3-Dimethyl butane	C6H14	2.4072	2.47024	483.731	-163.832	0.00002948
74-85-1	Ethylene	C2H4	2.09844	0.09095	281.469	47.654	0.00002107
115-07-1	Propylene	C3H6	1.41868	0.31808	772.733	-16.157	0.00001059
106-98-9	1-Butene	C4H8	1.12328	1.46382	431.592	-78.509	0.00004504
109-67-1	1-Pentene	C5H10	1.23863	0.83928	552.93	-31.663	0.00003416
592-41-6	1-Hexene	C6H12	0.78658	1.77502	489.925	-75.082	0.00006364
592-76-7	1-Heptene	C7H14	0.86573	0.25317	1520.715	-26.413	0.00001982
111-66-0	1-Octene	C8H16	1.29101	1.29302	586.319	-48.96	0.0000492
463-49-0	Propadiene	C3H4	0.89336	0.66484	424.315	-49.755	0.00006299
590-19-2	1,2-Butadiene	C4H6	0.67336	0.50405	612.623	-27.742	0.00005206
106-99-0	1,3-Butadiene	C4H6	0.88238	101.98307	384.667	-3372.077	0.0000543
591-95-7	1,2-Pentadiene	C5H8	0.9099	0.49699	702.284	-22.926	0.00003729
504-60-9	trans-1,3-Pentadiene	C5H8	0.67882	1.19675	469.034	-52.56	0.00007247
591-93-5	1,4-Pentadiene	C5H8	0.95705	0.89154	474.141	-25.365	0.00006023
591-96-8	2,3-Pentadiene	C5H8	0.87673	0.76868	537.821	-27.161	0.00005318
74-86-2	Acetylene	C2H2	2.52365	1.1781	426.582	-212.035	0.00001364
74-99-7	Propyne	C3H4	1.51137	0.90164	554.417	-83.957	0.0000224
503-17-3	2-Butyne	C4H6	1.18604	2.76132	469.413	-204.254	0.00004722
107-00-6	1-Butyne	C4H6	1.63188	0.65707	586.283	-56.906	0.00002696
75-19-4	Cyclopropane	C3H6	1.54429	0.85237	493.205	-65.344	0.00003113
287-23-0	Cyclobutane	C4H8	1.32593	0.96765	615.982	-101.863	0.00003774
287-92-3	Cyclopentane	C5H10	0.87341	38.24451	488.485	-1832.85	0.00005995
96-37-7	Methyl cyclopentane	C6H12	2.03241	1.34658	511.445	-48.471	0.00004178
1640-89-7	Ethyl cyclopentane	C7H14	1.26432	1.29189	649.18	-71.893	0.00004633
2040-96-2	Propyl cyclopentane	C8H16	-0.10699	1.30324	655.283	-17.596	0.00015405
2040-95-1	Butyl cyclopentane	C9H18	1.34628	1.62686	558.215	-34.525	0.0000745
3741-00-2	Pentyl cyclopentane	C10H20	-1.11498	1.19528	983.833	-53.542	0.00023152
4457-00-5	hexyl cyclopentane	C11H22	-1.13172	1.69976	925.702	-92.482	0.0002091
110-82-7	Cyclohexane	C6H12	0.7569	2.02779	787.882	-117.742	0.00003221
108-87-2	Methyl cyclohexane	C7H14	-0.74619	6.01059	429.985	-152.623	0.00034647
1678-91-7	Ethyl cyclohexane	C8H16	1.5291	0.51211	842.298	28.257	0.00003076
1678-92-8	Propyl cyclohexane	C9H18	-0.55711	1.6422	646.674	-10.66	0.0002415
1678-93-9	Butyl cyclohexane	C10H20	-0.87038	1.86712	617.939	2.177	0.00036852
