CASRN	Substance	Formula	C	D	Tmin	Tmax
75-07-0	Acetaldehyde 	C2H4O2 	730	-2.6402	270	300
64-19-7	Acetic acid 	C2H4O2 	1210600	-3.6612	270	390
764-49-8	Allyl thiocynate 	C4H5NS 	130700	-3.3473	290	400
110-58-7	Amyl amine 	C5H13N 	48213000	-4.3795	270	360
75-25-2	Bromoform 	CHBr3 	4900800	-3.8075	280	350
109-73-9	Butyl amine 	C4H11N 	15597000	-4.2168	270	360
60-29-7	Ether 	C4H10O 	950.69	-2.6785	270	410
111-26-2	n-Hexyl amine 	C6H15N 	188230000	-4.5741	270	380
2307-17-7	Hexyl thio myrisate 	C20H40OS 	88939000000	-5.2656	300	370
10035-10-6	Hydrogen bromide 	HBr 	0.25449	-1.0769	180	200
10034-85-2	Hydrogen iodide 	HI 	5.8043	-1.5299	220	240
28488-34-8	Methylacetate 	C3H6O2 	14880	-3.0759	270	420
78-93-3	Methylketone ethyl 	C4H8O 	422926000000	-3.1332	240	360
37340-18-4	Perfluoro-1- isopropoxy hexane 	C9F20O 	55620000000	-5.4777	290	320
