CASRN	Name	Formula	A	B	Tmin	Tmax
107-18-6	Allyl alcohol 	C3 H6O 	-5.5749	793.29	280	370
106-95-6	Allyl bromide 	C3 H5Br 	-4.6328	389.33	270	350
107-05-1	Allyl chloride 	C3 H5Cl 	-4.7522	372.37	270	320
92-52-4	Biphenyl 	C12H10 	-4.9332	712.34	370	500
10294-34-5	Boron trichloride 	BCl3 	-4.3146	232.51	230	290
106-40-1	4-Bromo aniline 	C6 H6NBr 	-4.9978	797.61	340	380
112-29-8	Bromo decane 	C10H21Br 	-5.4375	884.04	290	320
106-94-5	1-Bromo propane 	C3 H7Br 	-4.6262	392.13	270	350
75-26-3	2-Bromo propane 	C3 H7Br 	-4.7088	408.46	270	330
106-38-7	4-Bromo toluene 	C7 H7Br 	-4.6202	501.53	300	380
513-53-1	2-Butane thiol 	C4 H10S 	-4.6839	407.84	280	330
71-36-3	1-Butanol 	C4 H10O 	-5.9719	1007	220	390
1126-78-9	n-Butyl aniline 	C10H15N 	-4.961	685.21	370	520
104-51-8	Butyl benzene 	C10H14 	-4.8735	551.98	280	360
3374-12-7	s-Butyl titanate 	C16H36O 4Si 	-4.7678	612.63	370	460
123-72-8	Butyraldehyde 	C4 H8O 	-4.81	428.8	290	350
107-92-6	Butyric acid 	C4 H8O2 	-4.9362	623.19	270	430
109-74-0	Butyro nitrile 	C4 H7N 	-4.822	466.49	280	400
141-75-3	Butyryl chloride 	C4 H7ClO 	-4.7391	439.79	290	380
10108-64-2	Cadmium chloride	CdCl2 	-3.6505	889.51	840	1010
106-47-8	4 - Chloro aniline 	C6 H6ClN 	-4.8395	692.19	360	510
106-39-8	4 - Chloro bromo benzene 	C6 H4BrCl 	-3.552	123.37	380	395
75-68-3	1 - Chloro difluoro ethane 	C2 H3F2Cl 	-4.448	279.56	240	340
637-87-6	4 - Chloro iodo benzene 	C6 H4ClI 	-4.5532	520.97	380	395
121-73-3	3 - Chloro nitro benzene 	C6 H4ClNO2 	-4.6623	615.49	380	395
540-54-5	1 - Chloro propane 	C3 H7Cl 	-4.7401	376.91	270	320
75-29-6	2 - Chloro propane 	C3 H7Cl 	-4.844	395.32	270	310
8029-43-4	Corn syrup 	– 	-5.5478	868.35	280	360
98-82-8	Cumene 	C9 H12 	-4.891	524.64	270	320
100-48-1	4-Cyano pyridine 	C6 H4N2 	-4.8871	662.18	350	400
592-57-4	1,3-Cyclo hexadiene 	C6 H8 	-4.8782	486.13	290	360
110-82-7	Cyclo hexane 	C6 H12 	-5.1466	625.44	280	360
108-94-1	Cyclo hexanone 	C6 H10O 	-5.0732	708.98	280	430
110-83-8	Cyclo hexene 	C6 H10 	-4.8401	487.75	270	360
287-92-3	Cyclopentane 	C5H10 	-4.7916	419.62	270	320
493-01-6	Decalin 	C10H18 	-5.0322	720.71	290	350
334-48-5	Decanoic acid 	C10H20O2 	-5.3278	957.82	320	355
106-37-6	1,4-Di bromo benzene 	C6H4Br 	-5.341	873.38	380	400
540-49-8	1,2-Di bromo ethylene 	C2H2Br2 	-4.4549	421.62	270	380
106-46-7	1,4-Di chloro benzene 	C6H4Cl2 	-4.6319	497.21	330	450
471-43-2	1,1 - Di chloro - 2,2 - difluoro ethane 	C2H2Cl2F2 	-4.8605	502.16	290	330
75-71-8	Di chloro difluoro methane 	CCl2F2 	-4.3063	213.62	210	330
107-06-2	Trans-1,2-Dichloro ethane 	C2H2Cl2 	-4.6555	369.48	220	300
76-14-2	1,2 - Di chloro tetrafluoro ethane 	C2Cl2F4 	-4.7833	400.81	200	340
109-89-7	Di ethyl amine 	C4H11N 	-5.1067	479.98	280	330
150-78-7	1,4 - Di methoxy benzene 	C8H10O2 	-4.952	662.97	330	490
124-40-3	Di methyl amine 	C2H7N 	-5.1197	413.84	280	310
