CASRN	Name	Formula	A	B	C	Tmin	Tmax
60-35-5	Acetamide 	C2H5NO 	-1.6341	-422.9	149.84	360	500
108-24-7	Acetic anhydride 	C4H6O3 	-1.5804	-374.6	49.411	270	410
67-64-1	Acetone 	C3H6O 	-1.6125	-298.48	26.203	180	320
75-05-8	Aceto nitrile 	C2H3N 	-1.8242	-430.37	13.17	280	360
98-86-2	Aceto phenone 	C7H8O 	-1.6251	-468.3	45.007	370	480
75-36-5	Acetyl chloride 	C2H3ClO 	-1.7447	-407.1	12.418	290	330
557-40-4	Allyl ether 	C6H10O 	-2.5716	-938.43	-130.23	290	360
556-56-9	Allyl iodide 	C3H5I 	-1.5436	-410.42	2.0868	270	380
7727-15-3	Aluminum bromide 	AlBr3 	-1.2262	-493.82	64.743	370	530
7784-23-8	Aluminum iodide 	AlI3 	-0.884	-443.03	132.69	470	680
7664-41-7	Ammonia 	NH3 	-1.3044	-94.129	108.28	200	240
75-85-4	tert-Amyl alcohol 	C5H12O 	-2.0567	-359.53	161.29	270	380
540-18-1	Amyl butyrate 	C 9H18O2 	-1.4732	-321.43	87.301	270	380
62-53-3	Aniline 	C6H7N 	-1.467	-327.72	138.45	280	460
135-02-4	o-Anisaldehyde 	C8H8O 	-1.6222	-477.93	70.529	320	520
100-47-0	Benzo nitrile 	C7H5N 	-1.2898	-274.62	100.95	290	470
119-61-9	Benzo phenone 	C13H10O 	-1.6614	-416.84	148.97	300	380
100-51-6	Benzyl alcohol 	C7H8O 	-1.6581	-422.73	121.75	280	480
100-46-9	Benzyl amine 	C7H9N 	-1.7265	-480.83	49.937	290	460
120-51-4	Benzyl benzoate 	C14H12O2 	-0.9401	-230.36	174.56	270	380
100-44-7	Benzyl chloride 	C7H7Cl 	-0.8075	-122.5	163.81	280	310
140-29-4	Benzyl cyanide 	C8H7N 	-1.2563	-292.41	109.28	290	420
103-50-4	Benzyl ether 	C14H14O 	-1.0837	-260.57	149.28	270	380
1605-65-8	Bis dimethyl amino phosphoryl chloride 	C4H12ClN2OP 	-1.1079	-297.31	118.96	240	350
2778-42-9	1,3 - Bis (1 - Iso cyanato - 1- methyl) benzene 	C14H16N2O2 	-1.3198	-351.17	140.96	290	360
12595-65-2	Bismuth 	Bi 	-0.1717	-93.808	343.93	550	1250
7787-60-2	Bismuth chloride - molten 	BiCl3 	-2.7029	-198.83	348.83	500	675
507-42-6	Bromal hydrate 	C2H3Br3O2 	-1.7271	-303.97	223.45	310	380
10097-32-2	Bromine 	Br2 	-1.238	-329.88	26.153	270	330
74-96-4	Bromo ethane 	C2H5Br 	-1.7817	-468.12	-47.339	200	300
78-77-3	1- Bromo - 2 - metehyl -propane 	C4H9Br 	-2.1273	-731.96	-85.418	270	370
615-36-1	2 - Bromoaniline 	C6H5NBr 	-1.1491	-282.29	142.43	310	380
591-19-5	3 - Bromoaniline 	C6H6Br 	-0.831	-175.81	187.13	290	380
108-86-1	Bromo benzene 	C6H5Br 	-1.2367	-279.94	77.353	270	420
109-04-6	2 - Bromo pyridine 	C6H4BrN 	-1.2913	-347.61	71.653	290	400
95-46-5	2 - Bromo toluene 	C7H7Br 	-1.1812	-252.67	107.57	270	380
591-17-3	3 - Bromo toluene 	C7H7Br 	-1.1955	-258.83	92.688	270	380
106-97-8	Butane 	C4H10 	-2.143	-528.24	88.682	180	310
109-79-5	1 - Butane thiol 	C4H10S 	2.3425	-1606.6	908.1	280	340
78-92-2	2 - Butanol 	C4H10O 	-2.2749	-452.89	134.4	280	370
106-99-0	1,3 - Butadiene 	C4H6 	-3.0528	-973.83	-145.12	250	400
123-86-4	Butyl acetate 	C6H12O2 	-1.7722	-431.58	29.726	270	380
109-21-7	Butyl butyrate 	C8H16O2 	-1.5274	-338.81	72.283	270	380
21078-85-3	2-Butyl dodecanol 	C16H34O 	-2.2109	-614.37	132.35	290	380
142-96-1	Butyl ether 	C8H18O 	-1.809	-449.86	20.676	270	380
592-84-7	Butyl formate 	C5H10O2 	-1.8197	-448.59	22.748	270	380
66455-55-8	2 - Butyl - 3 -hexyl deca hydro naphthalene 	C20H38 	-1.2988	328.7	75.01	270	380
55000-56-1	2 - Butyl - 3 -hexyl naphthalene 	C20H28 	-1.2679	-328.24	169.89	270	380
23288-01-9	3 - Butyl - 2 – oxazolidone 	C7H13NO 2 	-1.2198	-311.24	135.32	270	340
40482-46-0	3 - te t - Butyl - 2 – oxazolidinone 	C7H13NO2 	-1.3212	-352.73	127.83	270	340
1126-79-0	Butyl phenyl ether 	C10H14O 	-1.7979	-500.67	51.416	290	490
590-01-2	Butyl propionate 	C7H14O2 	-1.661	-393.94	44.512	270	380
64180-21-8	Butyl sydnone 	C6H10N2O2 	-0.9759	-279	150.51	310	400
5593-70-4	Butyl titanate 	C16H36O4Ti 	-3.5798	-1299.5	80.807	370	480
3087-39-6	Tert - Butyl titanate 	C16H36O4Ti 	-1.818	-598.78	44.89	310	410
591-68-4	Butyl valerate 	C9H18O2 	-1.5554	-370.73	67.95	270	380
541-35-5	Butyramide 	C4H9NO 	-2.7069	-1130.3	7.6121	390	490
106-31-0	Butyric anhydride 	C8H14O3 	-1.7648	-512.55	31.91	290	420
7440-43-9	Cadmium 	Cd 	-0.6422	-941.06	280.31	590	730
75-45-6	Chloro difluoro methane 	CHClF2 	-1.7458	-328.78	25.019	200	300
593-70-4	Chloro fluoro methane 	CH2FCl 	-1.5953	-281.37	12.76	190	320
67-66-3	Chloroform 	CHCl3 	-1.4573	-325.76	23.789	210	360
87-63-8	2 - Chloro - 6 - methyl aniline 	C7H8ClN 	-0.5853	-76.581	216.4	290	330
513-36-0	1 - Chloro - 2 -methyl propane 	C4H9Cl 	-2.0409	-575.22	-45.152	270	340
95-57-8	2 - Chloro phenol 	C6H5ClO 	-1.2372	-230.71	169.42	280	450
108-43-0	3 - Chloro phenol 	C6H5ClO 	-0.4776	-89.566	240.53	290	340
106-48-9	4 - Chloro phenol 	C6H5ClO 	-1.7219	-507.99	103.79	370	500
766-51-8	2 - Chloro phenyl methyl ether 	C7H7ClO 	-1.5675	-410.89	80.145	290	470
109-09-1	2 - Chloro pyridine 	C5H4ClN 	-1.5143	-420.08	33.573	290	400
95-49-8	2 - Chloro toluene 	C7H7Cl 	-1.6558	-464.57	14.885	270	440
108-41-8	3 - Chloro toluene 	C7H7Cl 	-1.5776	-405.97	26.217	270	440
106-43-4	4 - Chloro toluene 	C7H7Cl 	-1.5492	-380.43	39.664	280	440
8001-30-7	Corn oil 	- 	-0.5581	-263.32	183.6	290	340
8029-43-4	Corn syrup 	- 	-1.45	-234.8	159.91	280	360
108-39-4	m - Cresol 	C7H8O 	-1.4933	-298.87	183.39	280	480
95-48-7	o - Cresol 	C7H8O 	-1.3697	-250.28	187.77	270	470
